log_id, prime, factor, energy
20231007181238, 98773, 8518, 18.0
20231007181238, 94529, 13595, 19.0
20231007181238, 95441, 10716, 19.0
20231007181238, 72871, 13791, 19.0
20231007181238, 100391, 15710, 19.0
20231007181238, 84163, 1430, 20.0
20231007181238, 97841, 15130, 21.0
20231007181238, 99809, 5470, 21.0
20231007181238, 70867, 1883, 21.0
20231007181238, 66739, 14302, 21.0
20231007181238, 67559, 3295, 22.0
20231007181238, 81637, 15835, 22.0
20231007181238, 88903, 12727, 24.0
20231007181238, 66947, 9047, 25.0
20231007181238, 85601, 7650, 25.0
20231007181403, 14591, 12839, 10.0
20231007181403, 61463, 15468, 10.0
20231007181403, 59029, 11887, 11.0
20231007181403, 47737, 1131, 11.0
20231007181403, 18089, 7079, 12.0
20231007181403, 10861, 10759, 12.0
20231007181403, 27893, 7931, 13.0
20231007181403, 41491, 6740, 13.0
20231007181403, 28387, 10797, 13.0
20231007181403, 65267, 10863, 14.0
20231007181403, 63649, 5179, 14.0
20231007181403, 44809, 13923, 16.0
20231007181403, 30577, 12909, 16.0
20231007181403, 21107, 16103, 16.0
20231007181403, 65063, 15974, 16.0
20231007181403, 24083, 15999, 16.0
20231007181403, 25169, 15965, 16.0
20231007181403, 16127, 14971, 16.0
20231007181403, 65521, 12911, 17.0
20231007181403, 62653, 16237, 17.0
20231007181403, 28657, 14511, 17.0
20231007181403, 25583, 14381, 17.0
20231007181403, 4957, 14863, 17.0
20231007181403, 31573, 12141, 17.0
20231007181403, 30859, 14390, 17.0
20231007181403, 42787, 15873, 17.0
20231007181403, 30517, 13071, 17.0
20231007181403, 61471, 13694, 17.0
20231007181403, 53503, 6719, 17.0
20231007181403, 32693, 10799, 17.0
20231007181403, 34429, 16166, 18.0
20231007181403, 31121, 7823, 18.0
20231007181403, 13049, 7803, 18.0
20231007181403, 31481, 5243, 18.0
20231007181403, 62207, 11877, 18.0
20231007181403, 64333, 1647, 18.0
20231007181403, 29333, 15095, 18.0
20231007181403, 63073, 14886, 18.0
20231007181403, 14197, 15015, 18.0
20231007181403, 22453, 5851, 18.0
20231007181403, 60017, 15963, 18.0
20231007181403, 58481, 14958, 18.0
20231007181403, 26227, 5357, 19.0
20231007181403, 63361, 9934, 19.0
20231007181403, 62131, 15197, 20.0
20231007181403, 63487, 6985, 20.0
20231007181403, 18367, 9103, 20.0
20231007181403, 12511, 7731, 20.0
20231007181403, 12893, 12645, 20.0
20231007181403, 8693, 6739, 20.0
20231007181403, 14449, 16079, 20.0
20231007181403, 30497, 5933, 20.0
20231007181403, 64151, 12375, 20.0
20231007181403, 20431, 14462, 20.0
20231007181403, 16253, 10091, 20.0
20231007181403, 28729, 8163, 21.0
20231007181403, 29297, 7414, 21.0
20231007181403, 30427, 14955, 21.0
20231007181403, 49123, 12847, 21.0
20231007181403, 57329, 7690, 21.0
20231007181403, 30259, 4971, 21.0
20231007181403, 26783, 15671, 21.0
20231007181403, 31357, 9657, 22.0
20231007181403, 41969, 14049, 22.0
20231007181403, 64901, 13375, 22.0
20231007181403, 32341, 14958, 22.0
20231007181403, 31741, 7275, 22.0
20231007181403, 8297, 13935, 23.0
20231007181403, 12791, 14301, 23.0
20231007181403, 65497, 13919, 23.0
20231007181403, 48817, 15230, 23.0
20231007181403, 54011, 16383, 23.0
20231007181403, 1607, 6395, 23.0
20231007181403, 10061, 11231, 23.0
20231007181403, 17911, 7855, 24.0
20231007181403, 28789, 14063, 24.0
20231007181403, 26293, 15986, 24.0
20231007181403, 28621, 15946, 24.0
20231007181403, 30323, 5486, 24.0
20231007181403, 29641, 14438, 24.0
20231007181403, 4789, 14935, 25.0
20231007181403, 12917, 5755, 25.0
20231007181403, 63493, 9585, 26.0
20231007181409, 33599, 12283, 11.0
20231007181409, 20747, 16380, 12.0
20231007181409, 20939, 12285, 12.0
20231007181409, 463, 11133, 13.0
20231007181409, 38959, 9199, 13.0
20231007181409, 29641, 3787, 14.0
20231007181409, 51721, 6095, 15.0
20231007181409, 18233, 14299, 15.0
20231007181409, 3407, 15860, 15.0
20231007181409, 18191, 16349, 15.0
20231007181409, 17609, 10746, 16.0
20231007181409, 4357, 15859, 16.0
20231007181409, 9679, 12213, 16.0
20231007181409, 53597, 14329, 16.0
20231007181409, 17737, 7913, 16.0
20231007181409, 18329, 3563, 17.0
20231007181409, 6043, 2045, 17.0
20231007181409, 27481, 8140, 17.0
20231007181409, 19309, 11751, 17.0
20231007181409, 43969, 12281, 17.0
20231007181409, 22277, 16372, 17.0
20231007181409, 2441, 15869, 18.0
20231007181409, 47569, 16311, 18.0
20231007181409, 37313, 11258, 18.0
20231007181409, 4157, 11239, 18.0
20231007181409, 19861, 16339, 18.0
20231007181409, 32327, 11233, 18.0
20231007181409, 18919, 7877, 19.0
20231007181409, 6793, 7115, 19.0
20231007181409, 30469, 12278, 19.0
20231007181409, 10141, 16380, 19.0
20231007181409, 5441, 4077, 19.0
20231007181409, 33349, 12263, 19.0
20231007181409, 37201, 13251, 19.0
20231007181409, 17099, 16341, 19.0
20231007181409, 13249, 3575, 19.0
20231007181409, 21893, 8117, 20.0
20231007181409, 5701, 3833, 20.0
20231007181409, 5801, 8189, 20.0
20231007181409, 49481, 12243, 20.0
20231007181409, 35533, 13813, 20.0
20231007181409, 5519, 15357, 20.0
20231007181409, 19913, 12275, 20.0
20231007181409, 6977, 9946, 20.0
